행정동코드,인구수
21030660,6896
21030680,8620
21030700,10934
21030710,10261
21040530,10332
21040540,3571
21040550,6955
21040590,6032
21040630,5134
21040640,15798
21040650,28274
21040660,8379
21040670,8794
21040680,6626
21040690,6930
21050520,11956
21050540,24752
21050550,21058
21050560,18877
21050570,15215
21050610,22545
21050640,22445
21050660,20588
21050680,11696
21050700,9821
21050720,17799
21050740,18121
21050750,9641
21050760,25611
21050770,12009
21050800,20215
21050810,19662
21050820,14193
21050830,20076
21050840,20594
21060510,30190
21060520,7849
21060550,27683
21060560,23266
21060570,34948
21060580,11383
21060590,23743
21060600,16260
21060610,12913
21060620,25330
21060630,12875
21060640,13193
21060650,25456
21070530,42475
21070540,14031
21070550,16342
21070560,15497
21070570,41242
21070580,18701
21070590,10246
21070600,7512
21070610,8279
21070620,7794
21070630,6238
21070660,10304
21070670,8071
21070680,15726
21070690,8444
21070700,17573
21070710,11615
21080510,14860
21080520,22871
21080530,18938
21080540,34240
21080550,38138
21080560,13364
21080570,10805
21080580,9570
21080590,15780
21080600,25767
21080610,17066
21080620,16550
21080630,27415
21090530,26047
21090540,14912
21090560,8886
21090580,10914
21090590,7254
21090620,20304
21090640,35243
21090650,21539
21090660,16453
21090670,29141
21090680,14478
21090690,20996
21090700,34421
21090710,14187
21090720,13369
21090730,22690
21090740,28732
21090750,26408
21100510,17306
21100520,14248
21100530,11390
21100540,14626
21100550,23197
21100560,20978
21100570,26711
21100580,15435
21100590,17183
21100600,12090
21100610,25349
21100620,35764
21100630,24504
21100640,12521
21100650,16775
21100660,4959
21110510,4160
21110520,7944
21110570,7124
21110580,16326
21110590,15186
21110600,11345
21110610,20485
21110640,1843
21110670,8963
21110680,28357
21110690,17697
21110700,29932
21110710,858
21110720,9739
21110730,7089
21110740,28491
21120510,5413
21120520,5970
21120530,6247
21120550,2169
21120561,23149
21120562,16239
21120580,4016
21120590,53600
21120600,28959
21130510,27317
21130520,24184
21130530,8828
21130540,9226
21130550,15330
21130560,21133
21130570,9953
21130580,15665
21130590,16620
21130600,14997
21130620,12832
21130630,31786
21140510,16321
21140520,12751
21140530,13342
21140540,24875
21140550,9550
21140560,24279
21140570,17823
21140580,9306
21140590,12945
21140600,26595
21150510,5410
21150520,25500
21150540,8932
21150550,11976
21150560,12040
21150570,25748
21150600,16214
21150610,24836
21150620,11811
21150630,26489
21150640,23931
21150650,12253
21510110,50330
21510111,28934
21510120,9031
21510130,77890
21510330,7043
22010540,7042
22010560,4702
22010590,7743
22010610,12044
22010620,7136
22010640,4694
22010650,6991
22010660,5932
22010670,15994
22010680,7503
22010690,4591
22010700,9756
22020510,10868
22020520,11489
22020530,11058
22020540,17745
22020550,7386
22020560,11243
22020580,13974
22020590,10061
22020600,11669
22020610,13477
22020620,3499
22020630,19534
22020650,12787
22020660,14203
22020680,16959
22020690,13365
22020710,20193
22020730,37566
22020740,15811
22020760,19977
22020770,26315
22020780,16872
22030510,9675
22030520,8295
22030530,14534
22030540,8261
22030550,7911
22030560,8538
22030570,5200
22030580,6560
22030590,9701
22030600,6572
22030610,7065
22030620,12687
22030630,15584
22030640,9624
22030650,5676
22030660,18170
22030680,10058
22040510,12387
22040530,7811
22040540,12752
22040550,14351
22040560,9821
22040570,12457
22040580,10355
22040590,9809
22040600,5448
22040610,11041
22040640,13751
22040650,8299
22040660,7837
22050510,12304
22050520,21316
22050550,3636
22050560,16849
22050570,18147
22050610,8236
22050620,9996
22050630,14588
22050640,8024
22050650,7799
22050660,29388
22050700,5862
22050710,33162
22050740,23279
22050750,32738
22050760,24303
22050770,14579
22050780,23448
22050790,31386
22050810,11287
22050820,25559
22050830,30149
22050840,16598
22060510,19916
22060520,13808
22060530,16967
22060540,18393
22060550,20238
22060560,10494
22060570,21050
22060580,16331
22060590,10059
22060600,12864
22060610,21069
22060620,11388
22060630,14553
22060640,14071
22060650,14964
22060660,14401
22060670,18977
22060680,18171
22060690,9808
22060700,15220
22060710,30653
22060720,25828
22060730,29462
22070550,8373
22070560,22528
22070570,30009
22070580,14369
22070590,15972
22070600,21028
22070610,39694
22070630,15218
22070650,32690
22070660,17541
22070670,9814
22070680,31720
22070690,16888
22070700,18166
22070710,12340
22070720,28778
22070730,25661
22070740,15235
22070750,21036
22070760,14425
22070770,39298
22070780,49318
22070790,32898
22510110,45365
22510120,19815
22510130,90598
22510140,30731
22510150,22651
22510160,23169
22510310,6930
22510320,3331
22510360,20527
22520111,7606
22520311,2169
22520312,3522
22520313,1987
22520314,1760
22520315,2130
22520316,1101
22520317,1218
23010520,5366
23010530,4817
23010540,14592
23010560,3548
23010570,2916
23010580,5548
23010630,3245
23010640,38404
23010650,21389
23010670,7229
23010681,32784
23010691,25099
23020510,6261
23020520,5326
23020530,6801
23020550,9615
23020570,2832
23020580,6533
23020590,1243
23020600,5535
23020610,6009
23020630,5623
23020640,2166
23040510,18313
23040520,19713
23040530,28282
23040540,20167
23040550,14926
23040560,24140
23040570,25419
23040580,16605
23040590,17084
23040600,19586
23040640,37824
23040650,52366
23040660,35953
23040680,40865
23040690,46148
23050510,30794
23050521,35926
23050530,29141
23050540,13283
23050550,17975
23050561,20224
23050570,26203
23050580,28642
23050590,15258
23050600,22056
23050610,16054
23050620,18253
23050630,14024
23050640,21731
23050670,20432
23050720,31482
23050730,33116
23050740,43040
23050750,18223
23050760,37063
23060510,36731
23060520,16320
23060530,16026
23060540,38434
23060550,37993
23060560,16800
23060570,15166
23060580,28669
23060590,19588
23060600,16140
23060610,12081
23060620,34510
23060630,14754
23060640,17828
23060650,31795
23060660,16172
23060670,19318
23060680,27710
23060690,11753
23060700,25382
23060710,24777
23060720,26938
23070510,25950
23070520,26337
23070530,18070
23070540,14722
23070550,17282
23070560,25395
23070570,23449
23070580,32604
23070610,30940
23070620,22317
23070630,18544
23070640,22990
23080510,54558
23080531,37088
23080541,41399
23080550,16839
23080560,8527
23080580,20369
23080590,12940
23080600,12436
23080620,14299
23080630,17874
23080640,15304
23080650,12325
23080730,29597
23080740,29926
23080780,46731
23080790,35617
23080800,33908
23080810,22957
23080840,26769
23080850,28110
23080860,20968
23080870,24476
23080880,71049
23090520,14038
23090540,14743
23090560,22622
23090570,6920
23090590,44969
23090600,34612
23090610,16965
23090620,21587
23090650,21016
23090660,21822
23090670,12160
23090680,19623
23090690,20509
23090700,21384
23090710,11724
23090720,18682
23090730,13622
23090740,13964
23090750,16151
23090760,23277
23090770,31399
23510110,21087
23510310,8364
23510320,5205
23510330,6924
23510340,4240
23510350,3977
23510360,2759
23510370,3763
23510380,1826
23510390,3169
23510400,2499
23510410,1906
23510420,590
23520310,1836
23520320,2100
23520330,4550
23520340,1440
23520350,1769
23520360,1286
23520370,6211
24010510,5692
24010540,3862
24010560,10162
24010580,13313
24010590,7704
24010610,9490
24010620,4580
24010630,4546
24010640,6626
24010680,7273
24010710,10825
24010720,9088
24010730,18128
24020510,3001
24020530,4086
24020540,11510
24020550,4325
24020560,5608
24020570,10495
24020580,24129
24020590,22179
24020600,15521
24020610,19277
24020620,8795
24020630,19133
24020640,7164
24020660,29105
24020670,33965
24020680,18891
24020690,26503
24020700,14952
24030510,6492
24030520,6538
24030530,8907
24030540,4511
24030570,8165
24030600,7990
24030610,5652
24030620,11320
24030630,6907
24030640,20929
24030650,7281
24030670,22021
24030680,12532
24030690,27065
24030700,7919
24030710,28182
24030720,16296
24040510,4304
24040540,3668
24040550,13781
24040560,12657
24040570,42653
24040580,18527
24040590,11236
24040600,13378
24040610,22464
24040620,15507
24040630,5563
24040640,22624
24040650,15145
24040660,14549
24040670,7187
24040680,14529
24040690,11831
24040700,13201
24040710,12880
24040720,10140
24040730,11377
24040740,2096
24040780,27503
24040800,35464
24040810,24159
24040820,31394
24040831,15271
24050511,10312
24050512,6052
24050513,4029
24050514,35641
24050515,7633
24050516,43304
24050517,73258
24050518,1967
24050519,1802
24050521,34138
24050540,14395
24050580,29852
24050590,12142
24050600,21191
24050630,29991
24050650,1620
24050660,7381
24050670,2437
24050690,27552
24050710,29186
24050740,18564
25010530,24635
25010550,12013
25010560,7807
25010570,25419
25010600,16606
25010630,13005
25010640,19552
25010650,20333
25010680,11931
25010730,2045
25010750,21246
25010760,3485
25010770,14533
25010780,13485
25010790,10645
25010800,13135
25020510,17830
25020530,17504
25020540,13196
25020550,12866
25020560,4186
25020570,13975
25020580,5183
25020590,6006
25020600,9716
25020620,9774
25020630,12271
25020640,23246
25020650,5716
25020660,12644
25020670,20265
25020680,11243
25020690,24876
25030510,22699
25030511,9982
25030512,37473
25030520,20156
25030530,18830
25030540,14902
25030550,12762
25030560,11763
25030570,26252
25030590,15729
25030600,34351
25030610,18634
25030620,10525
25030630,22004
25030640,20960
25030650,23846
25030660,11535
25030670,13120
25030680,19464
25030690,11941
25030710,3389
25030720,16019
25030730,47734
25030740,18156
25040540,54325
25040550,27069
25040570,25272
25040590,20428
25040610,32898
25040630,37061
25040640,27454
25040660,23199
25040670,35388
25040680,25487
25040690,21270
25040700,24386
25040710,29787
25050510,16865
25050520,6297
25050530,12490
25050540,14775
25050550,17977
25050560,11973
25050570,14436
25050580,15469
25050590,15665
25050600,13011
25050610,6362
25050620,25151
26010510,10464
26010520,15662
26010530,8131
26010590,17302
26010600,30481
26010610,20610
26010620,20010
26010630,19138
26010640,10201
26010660,20078
26010670,11000
26010681,20689
26020510,17384
26020520,24067
26020530,15280
26020540,19341
26020550,8167
26020560,25518
26020570,47063
26020580,20210
26020590,34253
26020600,24040
26020610,8994
26020620,32079
26020630,15586
26020640,13194
26030510,41347
26030520,5304
26030530,18518
26030540,10676
26030550,16287
26030580,8086
26030590,27156
26030600,11474
26030610,19420
26040510,35376
26040520,41923
26040530,35446
26040540,15998
26040560,29354
26040570,35579
26040580,11862
26040590,9883
26510110,23903
26510120,31160
26510130,27940
26510140,64802
26510150,20321
26510160,22476
26510310,8343
26510340,8632
26510360,3967
26510370,2980
26510380,8055
26510400,1684
29010110,47195
29010311,2776
29010312,2992
29010330,5810
29010340,8180
29010350,8865
29010360,7097
29010370,5815
29010380,3572
29010390,2334
29010512,18509
29010513,28000
29010514,23510
29010515,10649
29010521,25231
29010522,12567
29010560,26530
29010590,22297
29010600,34386
29010610,16988
29010640,10785
29010660,18100
29010680,27164
29010710,20804
31011540,24817
31011550,44174
31011560,32658
31011570,38494
31011580,20532
31011590,18646
31011600,27576
31011610,18465
31011620,38547
31011630,16903
31012520,11383
31012530,26053
31012540,19224
31012550,41174
31012560,38028
31012570,23047
31012600,24573
31012610,34808
31012620,19349
31012640,44992
31012650,44247
31012660,43722
31013530,10899
31013540,18624
31013550,16605
31013560,45689
31013670,22467
31013680,13786
31013690,23527
31013700,23248
31013710,23797
31013720,10175
31014510,13052
31014520,14032
31014530,34671
31014540,19546
31014600,49560
31014620,53508
31014630,27617
31014640,32136
31014650,24991
31014660,32009
31014670,30994
31014680,32634
31021510,13354
31021520,30517
31021530,11089
31021540,16759
31021550,14480
31021560,13388
31021570,11332
31021580,14002
31021590,17361
31021600,14012
31021610,4587
31021620,9398
31021640,4335
31021650,11220
31021660,3233
31021670,13278
31021680,44645
31022510,32361
31022530,19428
31022540,24407
31022550,9223
31022560,21028
31022570,23974
31022580,3039
31022590,11402
31022600,18899
31022610,25625
31022620,16571
31023510,23238
31023520,12681
31023530,16894
31023540,9664
31023550,13650
31023560,15840
31023580,29216
31023590,16674
31023600,23488
31023610,12185
31023620,16093
31023630,25473
31023640,14812
31023670,26843
31023680,34528
31023710,25949
31023720,15334
31023740,22914
31023750,25135
31023760,25375
31023770,28513
31023780,13421
31030520,29906
31030550,33961
31030560,18152
31030570,39216
31030580,43541
31030591,30152
31030600,25206
31030640,19569
31030650,31568
31030670,18758
31030680,23424
31030690,40692
31030700,30684
31030710,44721
31030721,26966
31041510,12314
31041520,23391
31041530,16325
31041540,6922
31041550,10504
31041560,26918
31041570,14764
31041580,8655
31041590,15643
31041600,18955
31041610,29087
31041630,14531
31041640,20140
31041651,11831
31042510,27726
31042520,14041
31042530,16905
31042540,15505
31042550,9305
31042580,25555
31042590,13265
31042600,21864
31042610,15356
31042620,25430
31042630,22897
31042640,22525
31042650,14436
31042660,11782
31042670,9953
31042681,31681
31042691,17594
31051511,13292
31051521,23637
31051531,11844
31051541,12066
31051551,7011
31051561,17178
31051571,16674
31051581,19132
31051591,14425
31051601,21414
31051611,21831
31051621,18182
31051631,16974
31051641,40068
31051651,28795
31051661,21944
31051671,16675
31051681,23229
31051691,27523
31051701,29628
31052511,18310
31052521,17911
31052531,20051
31052541,25537
31052551,29642
31052561,29132
31052571,28056
31052581,30828
31052591,18514
31052601,22884
31053511,37589
31053521,25136
31053531,12145
31053541,20999
31053551,18410
31053561,19119
31053571,18297
31060510,0
31060520,3162
31060530,10292
31060540,7496
31060550,11859
31060560,13468
31060570,22033
31060580,10122
31060590,5281
31060600,35346
31060610,9014
31060620,24592
31060630,12769
31060640,18374
31060650,11420
31060660,29184
31060680,1761
31060690,25163
31060700,21035
31070110,28144
31070120,45726
31070130,28917
31070140,28074
31070310,11346
31070320,4730
31070330,12848
31070340,6541
31070370,5614
31070510,42400
31070520,25412
31070530,25013
31070550,12784
31070560,20850
31070570,7668
31070580,5342
31070590,21108
31070600,14159
31070610,5942
31070640,37525
31070650,56720
31070660,26797
31070670,50589
31070680,41599
31070690,49907
31080510,6210
31080520,10553
31080530,4897
31080550,3552
31080560,24890
31080580,9549
31080600,5247
31080610,24568
31091510,24604
31091540,36661
31091550,25202
31091560,19335
31091570,20622
31091580,35783
31091620,23962
31091710,16497
31091730,8281
31091740,27423
31091760,35298
31091770,30520
31091780,44140
31092590,38217
31092660,51946
31092680,18655
31092690,27513
31092700,34663
31092720,8912
31092730,41991
31092740,20394
31092750,25073
31092760,30598
31092770,25144
31092780,30117
31101510,10499
31101511,28665
31101512,21519
31101513,27363
31101514,21549
31101515,18873
31101520,22159
31101540,22482
31101550,10037
31101560,25579
31101580,22608
31101590,27562
31101600,34204
31101610,17503
31101620,34112
31101630,30471
31101640,14086
31101650,19746
31101660,28879
31101670,27746
31101680,16804
31103510,39535
31103511,19986
31103512,23021
31103530,20965
31103540,35612
31103550,27542
31103560,21628
31103570,14513
31103580,16487
31103590,26198
31103600,23525
31103610,19566
31104510,24737
31104511,28812
31104512,18197
31104513,29533
31104514,17890
31104520,19478
31104530,31730
31104550,24928
31104560,25596
31104570,33577
31104580,19466
31110510,10623
31110521,16109
31110522,15394
31110530,13927
31110540,13281
31110550,5686
31110560,6193
31120510,29882
31120520,34375
31120530,23086
31120540,14423
31120550,20051
31120560,16272
31120570,23693
31120580,20320
31130110,55808
31130111,110560
31130120,96296
31130140,20049
31130150,50522
31130160,26243
31130310,17329
31130340,9490
31130350,3456
31130510,54395
31130520,36768
31130530,16723
31130540,2384
31130570,80488
31130580,102430
31130590,35444
31140510,36088
31140530,33837
31140550,32323
31140560,19947
31140571,35965
31140572,23315
31140581,48242
31140582,24354
31150510,42068
31150520,33304
31150530,9078
31150540,54064
31150550,11330
31150560,40528
31150590,1798
31150611,30051
31150620,24901
31150640,40955
31150650,43063
31150670,26130
31150680,22554
31150690,18354
31150700,23763
31150710,46291
31150720,19736
31150740,35644
31150750,36113
31150760,12257
31160510,33873
31160520,41182
31160540,17348
31160550,24559
31160560,19800
31160570,16770
31160580,19553
31160590,14547
31160600,18808
31160610,22819
31160630,8855
31160640,19996
31170510,13940
31170520,29136
31170530,32874
31170540,19431
31170550,20410
31170560,35515
31180510,6228
31180520,6801
31180530,43458
31180540,13760
31180550,17096
31180560,26772
31180590,1247
31180600,3096
31180611,29277
31180620,52586
31180630,45132
31180650,33895
31180660,2911
31180670,38613
31191110,31415
31191120,29022
31191130,20997
31191140,23718
31191340,8499
31191350,9209
31191360,21815
31191510,30877
31191530,50169
31191540,13358
31191550,35039
31191560,12155
31192520,40981
31192540,20463
31192550,27993
31192560,37380
31192570,32043
31192590,32758
31192600,23257
31192610,36674
31192630,33273
31192640,18818
31192650,12552
31192660,31528
31192670,30532
31192680,25452
31192690,25784
31193510,34043
31193520,39714
31193530,39121
31193550,17261
31193560,48485
31193580,31211
31193590,51087
31193600,26919
31193610,28472
31193620,18871
31193630,26536
31200110,48190
31200120,14539
31200130,10118
31200150,28176
31200310,10412
31200320,14346
31200350,13289
31200360,3776
31200370,6903
31200390,501
31200511,7897
31200512,50594
31200513,66150
31200514,23275
31200515,50287
31200516,23894
31200520,30287
31200530,21606
31200540,24602
31200570,61847
31210110,14831
31210120,37129
31210310,15290
31210320,12451
31210330,7183
31210340,17706
31210350,14439
31210360,4794
31210370,5036
31210380,3012
31210510,16456
31210520,15888
31210530,9896
31210540,56078
31220110,67384
31220310,5202
31220320,7152
31220330,3719
31220340,6330
31220350,23378
31220360,5690
31220380,6885
31220390,8048
31220400,7919
31220410,5549
31220420,1900
31220510,12296
31220520,29023
31220530,25264
31230110,40466
31230120,48369
31230130,35706
31230340,17433
31230350,7325
31230360,9403
31230530,20889
31230540,57975
31230560,39584
31230600,47997
31230610,56280
31230620,37872
31230630,45054
31230640,35183
31240120,108945
31240130,21019
31240140,99417
31240150,64940
31240310,6442
31240330,8137
31240350,9966
31240360,11838
31240370,8586
31240380,15525
31240390,15128
31240420,6895
31240430,14010
31240520,50399
31240530,36195
31240540,22194
31240550,36407
31240560,16010
31240570,28218
31240600,33250
31240610,48860
31240620,39587
31240640,51283
31240650,45594
31240670,26584
31240691,55004
31240700,43164
31240710,36295
31240720,44187
31250120,54264
31250140,25268
31250340,10654
31250350,15006
31250360,1299
31250380,2115
31250511,29666
31250512,32777
31250513,34521
31250514,22011
31250540,29346
31250550,22839
31250560,17152
31250570,40958
31250580,32116
31250590,32343
31260110,25902
31260310,7175
31260320,7668
31260330,12431
31260340,13119
31260510,4411
31260520,48645
31260530,9247
31260540,44819
31260550,25279
31260561,37953
31260571,56351
31270110,44560
31270310,10959
31270320,5242
31270330,11054
31270340,12659
31270350,2207
31270360,4988
31270370,9297
31270380,5739
31270390,7333
31270400,2472
31270410,3027
31270510,19502
31270520,18127
31280110,15434
31280310,4687
31280330,5219
31280340,2729
31280350,2615
31280360,6785
31280370,4860
31280380,4645
31280390,5856
31280510,20607
31280520,26147
31280530,17893
31550110,7434
31550120,17341
31550310,2930
31550320,4344
31550330,2562
31550340,1603
31550350,931
31550360,2382
31550370,154
31550380,705
31570110,20354
