name,lat,lng
경인자동차,37.5339209,126.8324474
미소카서비스,35.8510973,127.1146343
하이테크모터서비스,37.4509135,126.7180336
24시자동차서비스,35.4662396,129.3332763
카닥테크센터 아이모터스점,37.32713635,127.1076923
공임나라 대전 송강점,36.4456829,127.3832015
진모터스(동두천),37.8822007,127.0558335
스피드메이트 구미이마트,36.1094822,128.3649038
주식회사 드래곤타이어둔산오정점,36.3476379,127.4170463
대영자동차서비스,37.56006275,126.9678329
정일카센타,35.9156984,128.5501894
호성 자동차1급정비,35.2104628,128.8045417
카오라모터스,37.47995918,126.7988968
H nine 모터스,37.41500209,126.6824741
대전모터스,36.32992166,127.3780682
동경정비공업사,35.21422932,128.6862691
JC모터스,37.478681,126.8097328
자동차의 달인,37.25826,126.9959801
GT모터스,37.6470771,126.6246296
로렌오토모빌,37.3635028,126.7292178
어울림자동차정비,35.1239016,126.866294
HS모터스,37.1625427,127.0320674
성용모터스,35.1903605,129.0904689
타이어마트,35.292993,128.7838776
안양 그린자동차 공업사,37.3828723,126.948346
한스모터스,37.4513762,126.7275389
타이어테크 클린번점,37.5018336,126.9491799
에이치모터스,35.19633456,129.0993716
에이스자동차정비,36.1325037,128.3340888
미래카센터,37.57373212,126.8374144
해커모터스,37.606342,127.0407335
(주)네바퀴자동차,37.50459891,126.6490615
오일스팟카센타&타이어프로,36.34616683,127.4332317
봉선모터스,35.18552657,126.786907
그린카타운,35.2550945,128.6365111
애니카랜드 화명점,35.2321353,129.0079009
형주카센타,37.4652047,126.6507726
창성 모터스,37.39367116,127.2245996
하이카프라자육암모터스,37.21118291,127.0652521
쌍용카센타,37.4489656,126.6687336
유진카서비스,37.4409363,127.1601228
한일마스타공업사,37.6610881,127.0410301
이재만자동차공업사,37.55318897,126.9078209
한국타이어 경기대리점,37.6044637,127.1339207
청춘모터스,35.16223143,126.9034474
탑모터스대화점,37.6727512,126.7515156
바른카 바른정비,37.0646739,127.0585753
카서비스투,37.4439101,127.1534832
금호타이어프로수송점,35.9526799,126.715304
정보종합카센터,35.11412926,128.9607698
형제카센타,37.36758199,127.1420249
에이티랩오토,37.22295052,127.0905894
오토오아시스 여월신도시점,37.512439,126.8111411
유정모터스,37.48644231,126.9385694
919모터스,37.4614968,130.8746612
성강카서비스,37.38460266,126.7041547
보쉬카서비스 구미점 카마이웨이,36.13384523,128.4259921
타이어프로 활천점,35.2350253,128.8911515
퍼펙트스토리,36.9038224,126.6737984
1급카포스정비,35.0913332,128.9708242
아톰카,37.54434302,127.1735649
더조은정비,35.16544363,126.9154214
은하모터스,36.63274922,127.4417171
탑중앙자동차정비공업사,35.2074249,128.7080352
한국타이어T스테이션 서동점,35.5784649,129.3423847
이도모터스,37.38190972,126.9620547
베스트카 정비센터,37.5272395,126.7474909
광진MJ모터스,37.5466857,127.0873801
티스테이션 부산영주점,35.11271726,129.033731
오토아지트(AUTOAGIT),37.25536825,127.0607021
서울오토프라자,38.1012425,127.0757197
아모르모터스,35.8417752,128.4885764
상주타이어,36.4087333,128.1503578
애니카랜드역삼점,37.5067892,127.0366999
영훈카서비스,37.59341992,127.0907701
금호타이어원시점,37.3041361,126.8613391
타이어알지오,35.1769442,126.8585275
타이어티즈,36.3643607,127.4222738
오토오아시스 안녕점,37.20512506,126.9882694
타이어프로 이동점,36.02553986,129.3362112
오토오아시스 화남점,35.8433523,128.6919877
제이디(JD)모터스,35.33931184,129.0393897
닥터카서비스,37.57157392,127.0829111
카스토리정비,37.30766117,126.844037
봉명모터스,36.81429937,127.1309329
에반스 레이싱,37.5999197,126.8742994
최프로샵,36.33870878,127.3472726
하진자동차공업사,37.57309202,127.0660281
애니카랜드 우산점,35.1567384,126.8081359
