ADM_CD,ADM_NM,lat,lon,area_km2
11090620,번3동,37.623684,127.04218,1.0804
11090630,수유1동,37.629678,127.010005,1.6487
11090640,수유2동,37.645399,127.019328,0.5812
11090650,수유3동,37.64051,127.023411,0.7451
11090690,삼양동,37.62376,127.014914,0.9234
11090700,미아동,37.628636,127.026375,0.8406
11090710,송중동,37.617648,127.032986,1.075
11090720,송천동,37.618154,127.024931,0.9292
11090730,삼각산동,37.617125,127.016527,0.6214
11090740,우이동,37.660366,127.000501,10.5798
11090750,인수동,37.637358,127.003582,2.9957
11100510,쌍문1동,37.653028,127.019592,1.1749
11100520,쌍문2동,37.657091,127.03682,0.5408
11100530,쌍문3동,37.647713,127.030526,0.5044
11100540,쌍문4동,37.655422,127.030377,0.5544
11100550,방학1동,37.665038,127.043531,1.0401
11100560,방학2동,37.669189,127.032673,1.092
11100570,방학3동,37.663159,127.023576,1.9495
11100590,창1동,37.64709,127.043587,1.1213
11100600,창2동,37.642553,127.036711,0.6539
11100610,창3동,37.637245,127.04173,0.655
11100620,창4동,37.652697,127.050901,1.1388
11100630,창5동,37.655465,127.042759,0.7009
11100640,도봉1동,37.685333,127.026738,8.4451
11100650,도봉2동,37.681327,127.047645,1.1182
11110510,월계1동,37.621984,127.05841,1.1407
11110520,월계2동,37.63394,127.051282,2.0038
11110530,월계3동,37.624457,127.064822,1.1333
11110560,공릉2동,37.631643,127.094282,6.9797
11110580,하계1동,37.638525,127.075002,1.5259
11110590,하계2동,37.635078,127.064883,0.4997
11110600,중계본동,37.648659,127.086032,2.1816
11110610,중계1동,37.650232,127.073728,0.623
11110640,중계4동,37.659399,127.082589,1.5181
11110650,상계1동,37.683375,127.065078,5.3985
11110660,상계2동,37.656767,127.067005,0.6226
11110690,상계5동,37.66597,127.070017,0.9061
11110720,상계8동,37.666455,127.053526,0.6658
11110730,상계9동,37.667639,127.062155,0.719
11110740,상계10동,37.659772,127.058395,0.8086
11110760,상계3·4동,37.675806,127.084216,5.2079
11110770,상계6·7동,37.648736,127.060123,1.4492
11110780,중계2·3동,37.643426,127.065868,0.9184
11110790,공릉1동,37.624171,127.072549,1.2623
11120510,녹번동,37.605311,126.93449,1.7929
11120520,불광1동,37.616859,126.938697,3.1226
11120550,갈현1동,37.62516,126.914703,0.9604
11120560,갈현2동,37.617906,126.912469,0.9844
11120570,구산동,37.611049,126.907298,1.3888
11120580,대조동,37.612308,126.923134,0.8511
11120590,응암1동,37.598362,126.927016,1.109
11120600,응암2동,37.59209,126.922867,0.7547
11120650,신사1동,37.599154,126.908539,0.8077
11120660,신사2동,37.592873,126.906189,1.0455
11120670,증산동,37.584161,126.905902,0.8071
11120680,수색동,37.585542,126.894643,1.289
11120710,진관동,37.639657,126.937787,11.5568
11120720,불광2동,37.624283,126.928695,1.3951
11120730,응암3동,37.588886,126.917567,0.7522
11120740,역촌동,37.604555,126.914577,1.1567
11130520,천연동,37.571375,126.956652,0.9821
11130620,홍제1동,37.58348,126.944266,1.2348
11130640,홍제3동,37.592365,126.951647,1.208
11130650,홍제2동,37.584371,126.952463,0.6995
11130660,홍은1동,37.600637,126.946943,1.5976
11130680,홍은2동,37.587211,126.932176,2.0735
11130690,남가좌1동,37.571845,126.916326,0.4752
11130700,남가좌2동,37.577893,126.921389,0.783
11130710,북가좌1동,37.575409,126.908083,0.5776
11130720,북가좌2동,37.581172,126.913327,0.8243
11130730,충현동,37.563949,126.958202,1.1152
11130740,북아현동,37.559238,126.954939,0.4587
11130750,신촌동,37.564085,126.941608,2.7182
11130760,연희동,37.572209,126.932839,2.9271
11140590,용강동,37.54146,126.942121,0.79
11140600,대흥동,37.551984,126.941429,0.8476
11140610,염리동,37.549974,126.947559,0.497
11140630,신수동,37.545712,126.934809,0.7973
11140660,서교동,37.55481,126.920999,1.6775
11140680,합정동,37.546993,126.908968,1.7111
11140690,망원1동,37.553637,126.899775,1.1002
11140700,망원2동,37.558942,126.900164,0.6759
11140710,연남동,37.562986,126.92155,0.647
11140720,성산1동,37.562034,126.911878,0.8586
11140730,성산2동,37.568328,126.901997,1.9773
11140740,상암동,37.570708,126.87993,8.3963
11140750,도화동,37.538625,126.949056,0.6246
11140760,서강동,37.546761,126.925987,1.4777
11140770,공덕동,37.549333,126.957943,1.0185
11140780,아현동,37.551744,126.952622,0.7483
11150510,목1동,37.527427,126.87427,1.4321
11150520,목2동,37.543641,126.874187,1.0206
11150530,목3동,37.545086,126.865529,0.5315
11150540,목4동,37.535342,126.86694,0.5771
11150570,신월1동,37.53123,126.834458,0.622
11150580,신월2동,37.523446,126.846337,0.6064
11150590,신월3동,37.532501,126.827297,0.9174
11150600,신월4동,37.522113,126.839781,0.4695
11150610,신월5동,37.540967,126.829393,0.6381
11150620,신월6동,37.515979,126.842109,0.444
11150630,신월7동,37.519009,126.830506,1.2297
11150640,신정1동,37.518974,126.8597,0.747
11150650,신정2동,37.519367,126.8748,0.5255
11150660,신정3동,37.511809,126.841249,2.7545
11150690,신정6동,37.515858,126.869758,0.9402
11150700,신정7동,37.509865,126.865471,1.2332
11150710,목5동,37.536065,126.879885,1.7651
11150720,신정4동,37.525408,126.857618,0.9964
11160510,염창동,37.554523,126.871826,1.7332
11160520,등촌1동,37.555756,126.859546,0.6503
11160530,등촌2동,37.545772,126.860067,0.91
11160540,등촌3동,37.561221,126.846184,1.0596
11160550,화곡본동,37.542616,126.848063,0.9717
11160570,화곡2동,37.532274,126.854445,0.4543
11160580,화곡3동,37.543989,126.83437,0.5214
11160590,화곡4동,37.536065,126.858601,0.8514
11160610,화곡6동,37.551714,126.851212,1.0372
11160630,화곡8동,37.534287,126.848858,0.5933
11160650,가양2동,37.566714,126.854396,0.8233
11160660,가양3동,37.560829,126.861168,0.4723
11160670,발산1동,37.550502,126.825262,2.8856
11160690,공항동,37.555873,126.794931,10.9559
11160700,방화1동,37.568601,126.817574,1.4745
11160710,방화2동,37.58278,126.804076,6.1531
11160730,화곡1동,37.533742,126.840849,1.1967
11160740,우장산동,37.550678,126.841136,1.2607
11160751,가양1동,37.571923,126.834929,4.8658
11160761,방화3동,37.58212,126.817599,2.557
11170510,신도림동,37.509996,126.882213,1.3918
11170520,구로1동,37.493195,126.875454,1.0082
11170540,구로3동,37.484831,126.894948,1.0393
11170550,구로4동,37.491545,126.890371,0.5241
11170560,구로5동,37.501935,126.888537,1.0117
11170610,고척1동,37.500702,126.863719,1.1504
11170620,고척2동,37.505836,126.853469,1.0247
11170640,개봉2동,37.492579,126.856636,0.7819
11170650,개봉3동,37.486509,126.852167,0.8278
11170670,오류1동,37.496896,126.841688,0.7271
11170690,수궁동,37.498442,126.82603,2.6594
11170700,가리봉동,37.482755,126.88796,0.4107
11170710,구로2동,37.496864,126.87996,1.7021
11170720,개봉1동,37.499997,126.849108,1.3193
11170730,오류2동,37.485307,126.838447,3.0589
11170740,항동,37.481016,126.824592,1.4459
11180510,가산동,37.476681,126.883903,2.511
11180520,독산1동,37.464265,126.892539,2.0604
11180530,독산2동,37.463997,126.902766,0.6168
11180540,독산3동,37.475739,126.904675,0.9343
11180550,독산4동,37.469152,126.904063,0.5906
11180570,시흥1동,37.452408,126.900156,1.5222
11180580,시흥2동,37.450924,126.919796,1.3079
11180590,시흥3동,37.440088,126.905993,1.2605
11180600,시흥4동,37.460052,126.909245,0.8211
11180610,시흥5동,37.447399,126.912374,1.386
11190540,여의동,37.528485,126.928443,8.4313
11190550,당산1동,37.52386,126.896807,0.7448
11190560,당산2동,37.534109,126.9023,1.5799
11190610,양평1동,37.52544,126.886699,0.9742
11190620,양평2동,37.543568,126.890541,2.8725
11190630,신길1동,37.512518,126.919453,0.7224
11190650,신길3동,37.5062,126.905696,0.5197
11190660,신길4동,37.50691,126.912749,0.3224
11190670,신길5동,37.500957,126.905566,0.4943
11190680,신길6동,37.498794,126.91359,0.6179
11190690,신길7동,37.505962,126.919586,0.6467
11190700,대림1동,37.493703,126.905206,0.4986
11190710,대림2동,37.489634,126.900498,0.5721
11190720,대림3동,37.5,126.897176,0.921
11190730,영등포본동,37.513678,126.909458,0.8457
11190740,영등포동,37.521692,126.907618,1.3714
11190750,도림동,37.50914,126.900643,0.5855
11190760,문래동,37.516536,126.891063,1.7854
11200520,노량진2동,37.510885,126.937811,0.6001
11200530,상도1동,37.498372,126.95339,1.4814
11200540,상도2동,37.503679,126.941953,0.7784
11200550,상도3동,37.497609,126.932908,0.6369
11200560,상도4동,37.497423,126.940707,0.9389
11200630,사당1동,37.479767,126.977521,0.6347
11200650,사당3동,37.4888,126.970979,0.907
11200660,사당4동,37.48049,126.97079,0.4358
11200670,사당5동,37.485776,126.965035,0.6817
11200680,대방동,37.506939,126.928022,1.5438
11200690,신대방1동,37.489943,126.910576,0.6748
11200700,신대방2동,37.49457,126.921601,0.9697
11200710,흑석동,37.505431,126.962189,1.707
11200720,노량진1동,37.512249,126.948929,1.6122
11200730,사당2동,37.497268,126.974798,2.7611
11210520,보라매동,37.490395,126.932507,0.7561
11210540,청림동,37.489535,126.959466,0.2969
11210570,행운동,37.481019,126.960506,0.7177
11210580,낙성대동,37.46766,126.959847,2.2611
11210610,중앙동,37.484151,126.950646,0.3844
11210620,인헌동,37.469712,126.967605,1.0883
11210630,남현동,37.464109,126.977805,3.2786
11210640,서원동,37.48065,126.933268,0.6471
11210650,신원동,37.479392,126.926617,0.5446
11210660,서림동,37.472951,126.941449,0.9406
11210680,신사동,37.485767,126.918658,0.6406
11210690,신림동,37.487139,126.927189,0.5408
11210710,난향동,37.461498,126.918569,0.8208
11210720,조원동,37.482822,126.907295,0.6661
11210730,대학동,37.452914,126.948477,8.3989
11210780,은천동,37.487015,126.942085,0.7756
11210790,성현동,37.489581,126.951022,0.6777
11210800,청룡동,37.478086,126.945769,1.1947
11210810,난곡동,37.470616,126.921097,0.9717
11210820,삼성동,37.460834,126.930062,2.6025
11210830,미성동,37.475902,126.915475,1.3584
11220510,서초1동,37.486882,127.020111,1.3816
11220520,서초2동,37.488806,127.027851,1.2302
11220530,서초3동,37.485532,127.009427,2.9963
11220540,서초4동,37.498993,127.019834,0.8791
11220550,잠원동,37.517059,127.012793,1.7555
11220560,반포본동,37.504224,126.987517,0.9718
11220570,반포1동,37.505557,127.016733,0.9916
11220580,반포2동,37.507262,126.995973,1.395
11220590,반포3동,37.512334,127.003966,1.2508
11220600,반포4동,37.499581,127.003362,1.4261
11220610,방배본동,37.495072,126.987705,0.677
11220620,방배1동,37.484817,126.996219,0.6887
11220630,방배2동,37.473297,126.988455,1.9026
11220640,방배3동,37.474399,126.997884,2.3733
11220650,방배4동,37.489806,126.990994,0.9488
11220660,양재1동,37.469488,127.022434,5.7601
11220670,양재2동,37.451237,127.045726,7.5574
11220680,내곡동,37.455861,127.070627,12.6992
11230510,신사동,37.526072,127.020128,2.0577
11230511,개포3동,37.496328,127.078763,1.2993
11230520,논현1동,37.511861,127.026489,1.2578
