업체코드,업체명,위도,경도,월평균 예약 수,재구매율,익일배송여부,활성 여부
939,마이카전문정비,37.8762935,127.7133393,3.5,57%,N,Y
"1,373",동경정비공업사,35.21422932,128.6862691,5.5,36%,N,Y
"1,816",영훈카서비스,37.59341992,127.0907701,5.5,46%,N,Y
198,현대 카클리닉 정비센터,35.80878371,128.5098617,4,50%,N,Y
215,타이어신,35.20650647,126.8791548,5.5,27%,N,Y
382,예스카,35.86390489,127.1181406,4,50%,N,Y
"1,852",제이디(JD)모터스,35.33931184,129.0393897,5.5,91%,N,Y
389,베스트카 서비스(의왕),37.34546983,126.9761428,8.5,35%,Y,Y
703,청수카공업사,37.52757005,126.7359913,7.5,20%,Y,Y
348,바른자동차정비,37.49163549,129.1212296,6,25%,N,Y
"1,677",에이티랩오토,37.22295052,127.0905894,4,63%,N,Y
"1,395",어울림자동차정비,35.1239016,126.866294,5.5,27%,N,Y
259,무지개카공업사,37.4986095,126.9164468,8,25%,Y,Y
73,화이트모터스,34.95117396,127.489377,7.5,33%,N,Y
398,남수원종합카,37.26087622,127.019516,9,39%,Y,Y
746,동방카월드,37.5420663,127.1230892,10.5,43%,Y,Y
799,카젠 대월점,37.23768484,127.4958753,3.5,43%,N,Y
"1,232",공임나라 대전 송강점,36.4456829,127.3832015,7.5,33%,N,Y
672,보쉬카서비스바른차,37.01220872,126.9178062,5,70%,N,Y
962,보쉬대훈카써비스,37.2750815,127.0060578,5.5,36%,Y,Y
"2,983",오앤오 모터스,37.172356,127.120938,7.5,27%,N,Y
512,천사카랜드 정비공업사,36.964651,127.9387829,4.5,22%,N,Y
"1,474",오일스팟카센타&타이어프로,36.34616683,127.4332317,6.5,23%,N,Y
"2,012",티스테이션 천안백석점,36.8382755,127.1173438,8,6%,N,Y
378,피버,35.13155379,128.9436496,3,17%,N,Y
503,예스모터스,37.50997358,127.0182903,5,20%,Y,Y
740,플러스카서비스,37.34445144,127.111802,4.5,22%,Y,Y
"1,489",그린카타운,35.2550945,128.6365111,4.5,0%,N,Y
"1,908",하진자동차공업사,37.57309202,127.0660281,7.5,33%,Y,Y
"2,619",엔진핏(ENGINE FIT),37.3295636,126.8183778,10.5,33%,Y,Y
79,토마토 모터스,37.7742779,128.8912564,4,38%,N,Y
125,애니카랜드 성서공단점,35.84961218,128.4852189,3,33%,N,Y
"1,456",에이스자동차정비,36.1325037,128.3340888,3,0%,N,Y
"1,062",KB매직카 천안원성점,36.79991232,127.158893,5,30%,N,Y
"1,438",타이어테크 클린번점,37.5018336,126.9491799,5,0%,Y,Y
"1,643",정보종합카센터,35.11412926,128.9607698,4.5,33%,N,Y
"1,861",카스토리정비,37.30766117,126.844037,3,33%,Y,Y
77,타이어프로 녹산점,35.1122197,128.8833133,5.5,18%,N,Y
643,애니카랜드 연성점,37.3810595,126.7993215,4.5,22%,Y,Y
"1,035",일진자동차정비공업사(넥센타이어 단구점),37.32214365,127.9433161,5,40%,N,Y
"1,848",타이어프로 이동점,36.02553986,129.3362112,6,17%,N,Y
202,보정현대공업사,37.32103483,127.1111029,8.5,35%,Y,Y
230,차사랑,35.20819567,129.0087267,5.5,46%,N,Y
"1,016",보쉬카서비스부창자동차정비,35.1494739,129.1133267,6.5,15%,N,Y
"1,182",미소카서비스,35.8510973,127.1146343,5.5,27%,N,Y
"1,598",한국타이어 경기대리점,37.6044637,127.1339207,4,75%,N,Y
"1,872",봉명모터스,36.81429937,127.1309329,6,17%,N,Y
559,이안자동차공업사,37.58315326,127.0194177,2.5,40%,N,Y
"2,221",차사랑카센터,37.4995156,126.5540543,5.5,9%,N,Y
262,차앤차샵,35.14922882,128.697817,4,50%,N,Y
989,오토오아시스 롯데마트 거제점,34.8885634,128.6907994,4.5,22%,N,Y
41,유정모터스,37.48644231,126.9385694,1.5,33%,Y,Y
"1,748",퍼펙트스토리,36.9038224,126.6737984,7,43%,N,Y
"1,847",오토오아시스 안녕점,37.20512506,126.9882694,1.5,100%,N,Y
"1,879",에반스 레이싱,37.5999197,126.8742994,7.5,27%,Y,Y
394,성림 휠얼라이먼트,35.87729126,128.6790148,3.5,29%,N,Y
"1,117",중앙24시정비,36.0235282,129.3543386,3.5,43%,N,Y
"1,345",정일카센타,35.9156984,128.5501894,3.5,14%,N,Y
"1,679",오토오아시스 여월신도시점,37.512439,126.8111411,5.5,9%,Y,Y
"1,789",광진MJ모터스,37.5466857,127.0873801,4.5,44%,Y,Y
"1,708",제이엔모터스,35.17425729,129.0698708,4,38%,N,Y
"2,101",더타이어샵 삼송점,37.65275505,126.8918048,3,17%,N,Y
944,보쉬카서비스덕정점,37.84356026,127.0542862,0.5,0%,N,Y
"1,025",스테이 자동차정비,35.62820411,129.3449011,3,33%,N,Y
"1,486",봉선모터스,35.18552657,126.786907,1,0%,N,Y
"1,793",티스테이션 부산영주점,35.11271726,129.033731,2.5,20%,N,Y
"1,858",닥터카서비스,37.57157392,127.0829111,1,50%,N,Y
"2,030",이제이모터스,35.80112578,127.1281428,1,0%,N,Y
169,유럽모터스,35.1512217,126.8369522,5,30%,N,Y
550,정동자동차공업사,37.48351815,126.9083452,2,25%,N,Y
"1,375",JC모터스,37.478681,126.8097328,5,40%,Y,Y
"1,925",애니카랜드 우산점,35.1567384,126.8081359,4,50%,N,Y
"1,952",스피드메이트 신창점,35.185436,126.8343437,4.5,33%,N,Y
107,송라현대공업사,37.6616519,127.3020004,3.5,57%,N,Y
417,성신자동차공업사,37.55780907,126.8111773,6,8%,Y,Y
535,명지부분정비공업사,34.8002473,126.420627,3,50%,N,Y
"1,011",애니카랜드 학동점,35.132187,126.9331506,4.5,22%,N,Y
"1,530",형주카센타,37.4652047,126.6507726,6.5,15%,Y,Y
612,카스토리,37.7477379,127.0506455,2,75%,N,Y
915,백마공업사,36.90787055,126.4401578,6,8%,N,Y
955,카앤자동차공업사,37.48677343,126.5371087,2,25%,N,Y
"1,031",프로미카월드 대구평리점,35.8696502,128.5526203,5,40%,N,Y
"1,163",청운카센타,36.31014306,127.440422,1.5,33%,N,Y
"1,573",유진카서비스,37.4409363,127.1601228,3,0%,Y,Y
151,차사랑 카클리닉,37.7566954,128.9224925,4.5,44%,N,Y
248,경동모터스,35.19209438,129.0885305,1,50%,N,Y
302,보쉬카서비스 수완점,35.19377858,126.8139994,3,33%,N,Y
800,한성카센타,37.2833226,127.4383453,4,38%,N,Y
"1,834",타이어알지오,35.1769442,126.8585275,4,25%,N,Y
"2,121",메가스패너,35.1733376,129.0602299,4.5,22%,N,Y
146,애니카랜드 청림점,35.9944898,129.4031474,3,17%,N,Y
499,스피드메이트 양재점,37.4679807,127.0430861,3.5,29%,Y,Y
706,삼송카센터,37.6479086,126.8840433,0.5,0.00%,N,Y
792,부일카모터스(한국타이어대리점),37.6157767,127.1625205,3,33%,N,Y
"1,159",SH모터스,35.5014214,129.4242354,2.5,60%,N,Y
"2,387",공임천국 의정부점,37.750091,127.0541907,6,25%,Y,Y
690,SG모터스,37.5775759,126.9091736,3,50%,Y,Y
846,무성모터스,35.8694223,128.6088799,3,33%,N,Y
"1,388",자동차의 달인,37.25826,126.9959801,1.5,67%,N,Y
"1,404",성용모터스,35.1903605,129.0904689,4,38%,N,Y
"1,637",카서비스투,37.4439101,127.1534832,5,20%,Y,Y
"2,188",선우자동차공업사,37.3559961,127.9499859,3.5,57%,N,Y
147,애니카랜드 경산점,35.82851464,128.7304989,3,0%,N,Y
305,주식회사 원라인모터스,37.6687429,126.6458304,4.5,11%,N,Y
"2,097",스피드메이트 옥정점,37.8512813,127.0789968,2.5,60%,N,Y
"2,652",주식회사 에이오토플러스,37.2342623,126.9692825,4.5,11%,Y,Y
